"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 12:05:22 GMT 2021","Wed Aug 18 12:06:25 GMT 2021","63127","test_phyton","test_inputdata","","","","test_inputdata",""
"passed","Wed Aug 18 12:03:44 GMT 2021","Wed Aug 18 12:04:23 GMT 2021","38589","test_phyton","test_cookies","","","","test_cookies",""
"passed","Wed Aug 18 12:07:35 GMT 2021","Wed Aug 18 12:08:14 GMT 2021","38896","test_phyton","test_registration","","","","test_registration",""
"passed","Wed Aug 18 12:04:51 GMT 2021","Wed Aug 18 12:05:22 GMT 2021","31042","test_phyton","test_editdata","","","","test_editdata",""
"passed","Wed Aug 18 12:06:25 GMT 2021","Wed Aug 18 12:06:40 GMT 2021","15217","test_phyton","test_moredata","","","","test_moredata",""
"failed","Wed Aug 18 12:06:40 GMT 2021","Wed Aug 18 12:07:15 GMT 2021","34319","test_phyton","test_new_tittle_only_once","","","","test_new_tittle_only_once",""
"passed","Wed Aug 18 12:08:29 GMT 2021","Wed Aug 18 12:08:44 GMT 2021","14872","test_phyton","test_writedatatofile","","","","test_datawritetofile",""
"failed","Wed Aug 18 12:08:14 GMT 2021","Wed Aug 18 12:08:29 GMT 2021","14988","test_phyton","test_tittle_only_once","","","","test_tittle_only_once",""
"passed","Wed Aug 18 12:04:23 GMT 2021","Wed Aug 18 12:04:51 GMT 2021","27891","test_phyton","test_deletedata","","","","test_deletedata",""
"failed","Wed Aug 18 12:07:15 GMT 2021","Wed Aug 18 12:07:35 GMT 2021","20801","test_phyton","test_newdata","","","","test_newdata",""
