"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 10:49:11 GMT 2021","Wed Aug 18 10:49:55 GMT 2021","43719","test_phyton","test_inputdata","","","","test_inputdata",""
"failed","Wed Aug 18 10:50:11 GMT 2021","Wed Aug 18 10:50:45 GMT 2021","33950","test_phyton","test_new_tittle_only_once","","","","test_new_tittle_only_once",""
"passed","Wed Aug 18 10:49:55 GMT 2021","Wed Aug 18 10:50:11 GMT 2021","16282","test_phyton","test_moredata","","","","test_moredata",""
"passed","Wed Aug 18 10:47:45 GMT 2021","Wed Aug 18 10:48:18 GMT 2021","33057","test_phyton","test_cookies","","","","test_cookies",""
"passed","Wed Aug 18 10:48:43 GMT 2021","Wed Aug 18 10:49:11 GMT 2021","28283","test_phyton","test_editdata","","","","test_editdata",""
"passed","Wed Aug 18 10:51:59 GMT 2021","Wed Aug 18 10:52:14 GMT 2021","14655","test_phyton","test_writedatatofile","","","","test_datawritetofile",""
"passed","Wed Aug 18 10:51:06 GMT 2021","Wed Aug 18 10:51:44 GMT 2021","38418","test_phyton","test_registration","","","","test_registration",""
"failed","Wed Aug 18 10:51:44 GMT 2021","Wed Aug 18 10:51:59 GMT 2021","14663","test_phyton","test_tittle_only_once","","","","test_tittle_only_once",""
"passed","Wed Aug 18 10:48:18 GMT 2021","Wed Aug 18 10:48:43 GMT 2021","25174","test_phyton","test_deletedata","","","","test_deletedata",""
"failed","Wed Aug 18 10:50:45 GMT 2021","Wed Aug 18 10:51:06 GMT 2021","20499","test_phyton","test_newdata","","","","test_newdata",""
