"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 17 00:15:57 GMT 2021","Tue Aug 17 00:16:06 GMT 2021","9270","test_phyton","test_moredata","","","","test_moredata",""
"failed","Tue Aug 17 00:16:36 GMT 2021","Tue Aug 17 00:16:51 GMT 2021","15088","test_phyton","test_newdata","","","","test_newdata",""
"passed","Tue Aug 17 00:15:06 GMT 2021","Tue Aug 17 00:15:24 GMT 2021","18378","test_phyton","test_editdata","","","","test_editdata",""
"passed","Tue Aug 17 00:17:26 GMT 2021","Tue Aug 17 00:17:38 GMT 2021","12103","test_phyton","test_writedatatofile","","","","test_datawritetofile",""
"passed","Tue Aug 17 00:14:49 GMT 2021","Tue Aug 17 00:15:06 GMT 2021","17101","test_phyton","test_deletedata","","","","test_deletedata",""
"passed","Tue Aug 17 00:17:22 GMT 2021","Tue Aug 17 00:17:26 GMT 2021","4018","test_phyton","test_tittle_only_once","","","","test_tittle_only_once",""
"passed","Tue Aug 17 00:14:24 GMT 2021","Tue Aug 17 00:14:49 GMT 2021","24552","test_phyton","test_cookies","","","","test_cookies",""
"passed","Tue Aug 17 00:16:51 GMT 2021","Tue Aug 17 00:17:22 GMT 2021","30154","test_phyton","test_registration","","","","test_registration",""
"passed","Tue Aug 17 00:15:24 GMT 2021","Tue Aug 17 00:15:57 GMT 2021","32396","test_phyton","test_inputdata","","","","test_inputdata",""
"failed","Tue Aug 17 00:16:06 GMT 2021","Tue Aug 17 00:16:36 GMT 2021","30304","test_phyton","test_new_tittle_only_once","","","","test_new_tittle_only_once",""
