"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 17 18:19:00 GMT 2021","Tue Aug 17 18:19:29 GMT 2021","29610","test_phyton","test_editdata","","","","test_editdata",""
"passed","Tue Aug 17 18:18:33 GMT 2021","Tue Aug 17 18:19:00 GMT 2021","26351","test_phyton","test_deletedata","","","","test_deletedata",""
"passed","Tue Aug 17 18:19:29 GMT 2021","Tue Aug 17 18:19:54 GMT 2021","24706","test_phyton","test_inputdata","","","","test_inputdata",""
"passed","Tue Aug 17 18:19:54 GMT 2021","Tue Aug 17 18:20:10 GMT 2021","16544","test_phyton","test_moredata","","","","test_moredata",""
"passed","Tue Aug 17 18:21:05 GMT 2021","Tue Aug 17 18:21:44 GMT 2021","38339","test_phyton","test_registration","","","","test_registration",""
"failed","Tue Aug 17 18:21:44 GMT 2021","Tue Aug 17 18:21:59 GMT 2021","15199","test_phyton","test_tittle_only_once","","","","test_tittle_only_once",""
"passed","Tue Aug 17 18:18:00 GMT 2021","Tue Aug 17 18:18:33 GMT 2021","32997","test_phyton","test_cookies","","","","test_cookies",""
"failed","Tue Aug 17 18:20:10 GMT 2021","Tue Aug 17 18:20:45 GMT 2021","34346","test_phyton","test_new_tittle_only_once","","","","test_new_tittle_only_once",""
"failed","Tue Aug 17 18:20:45 GMT 2021","Tue Aug 17 18:21:05 GMT 2021","20547","test_phyton","test_newdata","","","","test_newdata",""
"passed","Tue Aug 17 18:21:59 GMT 2021","Tue Aug 17 18:22:14 GMT 2021","14927","test_phyton","test_writedatatofile","","","","test_datawritetofile",""
