"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 17 10:01:05 GMT 2021","Tue Aug 17 10:01:15 GMT 2021","9119","test_phyton","test_moredata","","","","test_moredata",""
"passed","Tue Aug 17 09:59:57 GMT 2021","Tue Aug 17 10:00:15 GMT 2021","17695","test_phyton","test_deletedata","","","","test_deletedata",""
"passed","Tue Aug 17 09:59:25 GMT 2021","Tue Aug 17 09:59:57 GMT 2021","32065","test_phyton","test_cookies","","","","test_cookies",""
"passed","Tue Aug 17 10:02:00 GMT 2021","Tue Aug 17 10:02:30 GMT 2021","30111","test_phyton","test_registration","","","","test_registration",""
"failed","Tue Aug 17 10:01:15 GMT 2021","Tue Aug 17 10:01:45 GMT 2021","30352","test_phyton","test_new_tittle_only_once","","","","test_new_tittle_only_once",""
"passed","Tue Aug 17 10:00:33 GMT 2021","Tue Aug 17 10:01:05 GMT 2021","32400","test_phyton","test_inputdata","","","","test_inputdata",""
"passed","Tue Aug 17 10:02:34 GMT 2021","Tue Aug 17 10:02:46 GMT 2021","12290","test_phyton","test_writedatatofile","","","","test_datawritetofile",""
"failed","Tue Aug 17 10:01:45 GMT 2021","Tue Aug 17 10:02:00 GMT 2021","15033","test_phyton","test_newdata","","","","test_newdata",""
"passed","Tue Aug 17 10:00:15 GMT 2021","Tue Aug 17 10:00:33 GMT 2021","18455","test_phyton","test_editdata","","","","test_editdata",""
"passed","Tue Aug 17 10:02:30 GMT 2021","Tue Aug 17 10:02:34 GMT 2021","4065","test_phyton","test_tittle_only_once","","","","test_tittle_only_once",""
