"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 10:48:07 GMT 2021","Wed Aug 18 10:48:40 GMT 2021","33184","test_phyton","test_cookies","","","","test_cookies",""
"passed","Wed Aug 18 10:48:40 GMT 2021","Wed Aug 18 10:49:08 GMT 2021","27997","test_phyton","test_deletedata","","","","test_deletedata",""
"failed","Wed Aug 18 10:52:25 GMT 2021","Wed Aug 18 10:52:40 GMT 2021","15070","test_phyton","test_tittle_only_once","","","","test_tittle_only_once",""
"passed","Wed Aug 18 10:49:08 GMT 2021","Wed Aug 18 10:49:39 GMT 2021","31069","test_phyton","test_editdata","","","","test_editdata",""
"passed","Wed Aug 18 10:50:34 GMT 2021","Wed Aug 18 10:50:51 GMT 2021","16356","test_phyton","test_moredata","","","","test_moredata",""
"failed","Wed Aug 18 10:50:51 GMT 2021","Wed Aug 18 10:51:25 GMT 2021","34661","test_phyton","test_new_tittle_only_once","","","","test_new_tittle_only_once",""
"passed","Wed Aug 18 10:51:46 GMT 2021","Wed Aug 18 10:52:25 GMT 2021","38782","test_phyton","test_registration","","","","test_registration",""
"passed","Wed Aug 18 10:52:40 GMT 2021","Wed Aug 18 10:52:55 GMT 2021","15054","test_phyton","test_writedatatofile","","","","test_datawritetofile",""
"broken","Wed Aug 18 10:49:39 GMT 2021","Wed Aug 18 10:50:34 GMT 2021","54620","test_phyton","test_inputdata","","","","test_inputdata",""
"failed","Wed Aug 18 10:51:25 GMT 2021","Wed Aug 18 10:51:46 GMT 2021","20832","test_phyton","test_newdata","","","","test_newdata",""
