"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 23:58:39 GMT 2021","Mon Aug 16 23:58:48 GMT 2021","8470","test_phyton","test_moredata","","","","test_moredata",""
"passed","Mon Aug 16 23:59:38 GMT 2021","Tue Aug 17 00:00:07 GMT 2021","29119","test_phyton","test_registration","","","","test_registration",""
"passed","Mon Aug 16 23:58:48 GMT 2021","Mon Aug 16 23:59:30 GMT 2021","41856","test_phyton","test_new_tittle_only_once","","","","test_new_tittle_only_once",""
"passed","Tue Aug 17 00:00:12 GMT 2021","Tue Aug 17 00:00:22 GMT 2021","10658","test_phyton","test_writedatatofile","","","","test_datawritetofile",""
"passed","Tue Aug 17 00:00:07 GMT 2021","Tue Aug 17 00:00:12 GMT 2021","4421","test_phyton","test_tittle_only_once","","","","test_tittle_only_once",""
"passed","Mon Aug 16 23:57:57 GMT 2021","Mon Aug 16 23:58:14 GMT 2021","17104","test_phyton","test_deletedata","","","","test_deletedata",""
"passed","Mon Aug 16 23:59:30 GMT 2021","Mon Aug 16 23:59:38 GMT 2021","8687","test_phyton","test_newdata","","","","test_newdata",""
"passed","Mon Aug 16 23:57:27 GMT 2021","Mon Aug 16 23:57:57 GMT 2021","29290","test_phyton","test_cookies","","","","test_cookies",""
"broken","Mon Aug 16 23:58:32 GMT 2021","Mon Aug 16 23:58:39 GMT 2021","7072","test_phyton","test_inputdata","","","","test_inputdata",""
"passed","Mon Aug 16 23:58:14 GMT 2021","Mon Aug 16 23:58:32 GMT 2021","18256","test_phyton","test_editdata","","","","test_editdata",""
