"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 17 18:44:16 GMT 2021","Tue Aug 17 18:44:45 GMT 2021","29343","test_phyton","test_editdata","","","","test_editdata",""
"failed","Tue Aug 17 18:46:00 GMT 2021","Tue Aug 17 18:46:20 GMT 2021","20443","test_phyton","test_newdata","","","","test_newdata",""
"failed","Tue Aug 17 18:45:26 GMT 2021","Tue Aug 17 18:46:00 GMT 2021","33893","test_phyton","test_new_tittle_only_once","","","","test_new_tittle_only_once",""
"passed","Tue Aug 17 18:45:10 GMT 2021","Tue Aug 17 18:45:26 GMT 2021","16258","test_phyton","test_moredata","","","","test_moredata",""
"passed","Tue Aug 17 18:43:12 GMT 2021","Tue Aug 17 18:43:50 GMT 2021","37450","test_phyton","test_cookies","","","","test_cookies",""
"passed","Tue Aug 17 18:44:45 GMT 2021","Tue Aug 17 18:45:10 GMT 2021","24436","test_phyton","test_inputdata","","","","test_inputdata",""
"failed","Tue Aug 17 18:46:59 GMT 2021","Tue Aug 17 18:47:13 GMT 2021","14743","test_phyton","test_tittle_only_once","","","","test_tittle_only_once",""
"passed","Tue Aug 17 18:43:50 GMT 2021","Tue Aug 17 18:44:16 GMT 2021","26212","test_phyton","test_deletedata","","","","test_deletedata",""
"passed","Tue Aug 17 18:46:20 GMT 2021","Tue Aug 17 18:46:59 GMT 2021","38363","test_phyton","test_registration","","","","test_registration",""
"passed","Tue Aug 17 18:47:13 GMT 2021","Tue Aug 17 18:47:28 GMT 2021","14703","test_phyton","test_writedatatofile","","","","test_datawritetofile",""
