"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 23:11:11 GMT 2021","Mon Aug 16 23:11:41 GMT 2021","29832","test_phyton","test_registration","","","","test_registration",""
"passed","Mon Aug 16 23:09:38 GMT 2021","Mon Aug 16 23:09:55 GMT 2021","16737","test_phyton","test_deletedata","","","","test_deletedata",""
"broken","Mon Aug 16 23:11:45 GMT 2021","Mon Aug 16 23:11:56 GMT 2021","10292","test_phyton","test_writedatatofile","","","","test_datawritetofile",""
"passed","Mon Aug 16 23:10:13 GMT 2021","Mon Aug 16 23:10:21 GMT 2021","8254","test_phyton","test_moredata","","","","test_moredata",""
"passed","Mon Aug 16 23:10:21 GMT 2021","Mon Aug 16 23:11:03 GMT 2021","41471","test_phyton","test_new_tittle_only_once","","","","test_new_tittle_only_once",""
"passed","Mon Aug 16 23:09:55 GMT 2021","Mon Aug 16 23:10:13 GMT 2021","17836","test_phyton","test_editdata","","","","test_editdata",""
"passed","Mon Aug 16 23:11:41 GMT 2021","Mon Aug 16 23:11:45 GMT 2021","4095","test_phyton","test_tittle_only_once","","","","test_tittle_only_once",""
"passed","Mon Aug 16 23:11:03 GMT 2021","Mon Aug 16 23:11:11 GMT 2021","8655","test_phyton","test_newdata","","","","test_newdata",""
"passed","Mon Aug 16 23:09:14 GMT 2021","Mon Aug 16 23:09:38 GMT 2021","24362","test_phyton","test_cookies","","","","test_cookies",""
