"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 17 20:29:40 GMT 2021","Tue Aug 17 20:29:56 GMT 2021","16645","test_phyton","test_tittle_only_once","","","","test_tittle_only_once",""
"passed","Tue Aug 17 20:29:56 GMT 2021","Tue Aug 17 20:30:13 GMT 2021","16806","test_phyton","test_writedatatofile","","","","test_datawritetofile",""
"passed","Tue Aug 17 20:27:05 GMT 2021","Tue Aug 17 20:27:49 GMT 2021","44464","test_phyton","test_inputdata","","","","test_inputdata",""
"failed","Tue Aug 17 20:28:06 GMT 2021","Tue Aug 17 20:28:41 GMT 2021","34699","test_phyton","test_new_tittle_only_once","","","","test_new_tittle_only_once",""
"passed","Tue Aug 17 20:26:09 GMT 2021","Tue Aug 17 20:26:35 GMT 2021","25748","test_phyton","test_deletedata","","","","test_deletedata",""
"passed","Tue Aug 17 20:29:01 GMT 2021","Tue Aug 17 20:29:40 GMT 2021","38441","test_phyton","test_registration","","","","test_registration",""
"failed","Tue Aug 17 20:28:41 GMT 2021","Tue Aug 17 20:29:01 GMT 2021","20497","test_phyton","test_newdata","","","","test_newdata",""
"passed","Tue Aug 17 20:25:37 GMT 2021","Tue Aug 17 20:26:09 GMT 2021","31951","test_phyton","test_cookies","","","","test_cookies",""
"passed","Tue Aug 17 20:27:49 GMT 2021","Tue Aug 17 20:28:06 GMT 2021","16907","test_phyton","test_moredata","","","","test_moredata",""
"passed","Tue Aug 17 20:26:35 GMT 2021","Tue Aug 17 20:27:05 GMT 2021","29933","test_phyton","test_editdata","","","","test_editdata",""
