"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 23:49:25 GMT 2021","Mon Aug 16 23:49:43 GMT 2021","18129","test_phyton","test_editdata","","","","test_editdata",""
"passed","Mon Aug 16 23:50:50 GMT 2021","Mon Aug 16 23:51:20 GMT 2021","30127","test_phyton","test_registration","","","","test_registration",""
"passed","Mon Aug 16 23:51:20 GMT 2021","Mon Aug 16 23:51:24 GMT 2021","4134","test_phyton","test_tittle_only_once","","","","test_tittle_only_once",""
"broken","Mon Aug 16 23:49:43 GMT 2021","Mon Aug 16 23:49:51 GMT 2021","8038","test_phyton","test_inputdata","","","","test_inputdata",""
"passed","Mon Aug 16 23:49:51 GMT 2021","Mon Aug 16 23:49:59 GMT 2021","8400","test_phyton","test_moredata","","","","test_moredata",""
"passed","Mon Aug 16 23:51:24 GMT 2021","Mon Aug 16 23:51:35 GMT 2021","10728","test_phyton","test_writedatatofile","","","","test_datawritetofile",""
"passed","Mon Aug 16 23:50:41 GMT 2021","Mon Aug 16 23:50:50 GMT 2021","8820","test_phyton","test_newdata","","","","test_newdata",""
"passed","Mon Aug 16 23:49:08 GMT 2021","Mon Aug 16 23:49:25 GMT 2021","16958","test_phyton","test_deletedata","","","","test_deletedata",""
"passed","Mon Aug 16 23:48:43 GMT 2021","Mon Aug 16 23:49:08 GMT 2021","24484","test_phyton","test_cookies","","","","test_cookies",""
"passed","Mon Aug 16 23:49:59 GMT 2021","Mon Aug 16 23:50:41 GMT 2021","41724","test_phyton","test_new_tittle_only_once","","","","test_new_tittle_only_once",""
