"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 18 11:12:52 GMT 2021","Wed Aug 18 11:13:25 GMT 2021","33413","test_phyton","test_new_tittle_only_once","","","","test_new_tittle_only_once",""
"failed","Wed Aug 18 11:13:26 GMT 2021","Wed Aug 18 11:13:46 GMT 2021","20608","test_phyton","test_newdata","","","","test_newdata",""
"passed","Wed Aug 18 11:11:52 GMT 2021","Wed Aug 18 11:12:36 GMT 2021","43601","test_phyton","test_inputdata","","","","test_inputdata",""
"passed","Wed Aug 18 11:13:46 GMT 2021","Wed Aug 18 11:14:25 GMT 2021","38576","test_phyton","test_registration","","","","test_registration",""
"broken","Wed Aug 18 11:14:40 GMT 2021","Wed Aug 18 11:14:55 GMT 2021","14998","test_phyton","test_writedatatofile","","","","test_datawritetofile",""
"passed","Wed Aug 18 11:11:21 GMT 2021","Wed Aug 18 11:11:52 GMT 2021","30596","test_phyton","test_editdata","","","","test_editdata",""
"passed","Wed Aug 18 11:10:19 GMT 2021","Wed Aug 18 11:10:54 GMT 2021","34398","test_phyton","test_cookies","","","","test_cookies",""
"passed","Wed Aug 18 11:10:54 GMT 2021","Wed Aug 18 11:11:21 GMT 2021","27421","test_phyton","test_deletedata","","","","test_deletedata",""
"failed","Wed Aug 18 11:14:25 GMT 2021","Wed Aug 18 11:14:40 GMT 2021","15098","test_phyton","test_tittle_only_once","","","","test_tittle_only_once",""
"passed","Wed Aug 18 11:12:36 GMT 2021","Wed Aug 18 11:12:52 GMT 2021","16534","test_phyton","test_moredata","","","","test_moredata",""
