"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 17 19:48:32 GMT 2021","Tue Aug 17 19:49:01 GMT 2021","29737","test_phyton","test_editdata","","","","test_editdata",""
"passed","Tue Aug 17 19:47:32 GMT 2021","Tue Aug 17 19:48:05 GMT 2021","33152","test_phyton","test_cookies","","","","test_cookies",""
"failed","Tue Aug 17 19:51:16 GMT 2021","Tue Aug 17 19:51:32 GMT 2021","15305","test_phyton","test_tittle_only_once","","","","test_tittle_only_once",""
"passed","Tue Aug 17 19:49:26 GMT 2021","Tue Aug 17 19:49:43 GMT 2021","16601","test_phyton","test_moredata","","","","test_moredata",""
"passed","Tue Aug 17 19:48:05 GMT 2021","Tue Aug 17 19:48:32 GMT 2021","26615","test_phyton","test_deletedata","","","","test_deletedata",""
"passed","Tue Aug 17 19:51:32 GMT 2021","Tue Aug 17 19:51:47 GMT 2021","15249","test_phyton","test_writedatatofile","","","","test_datawritetofile",""
"failed","Tue Aug 17 19:49:43 GMT 2021","Tue Aug 17 19:50:17 GMT 2021","34486","test_phyton","test_new_tittle_only_once","","","","test_new_tittle_only_once",""
"passed","Tue Aug 17 19:49:01 GMT 2021","Tue Aug 17 19:49:26 GMT 2021","24703","test_phyton","test_inputdata","","","","test_inputdata",""
"failed","Tue Aug 17 19:50:17 GMT 2021","Tue Aug 17 19:50:38 GMT 2021","20594","test_phyton","test_newdata","","","","test_newdata",""
"passed","Tue Aug 17 19:50:38 GMT 2021","Tue Aug 17 19:51:16 GMT 2021","38662","test_phyton","test_registration","","","","test_registration",""
