"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 17 19:40:50 GMT 2021","Tue Aug 17 19:41:05 GMT 2021","14658","test_phyton","test_tittle_only_once","","","","test_tittle_only_once",""
"failed","Tue Aug 17 19:39:51 GMT 2021","Tue Aug 17 19:40:12 GMT 2021","20550","test_phyton","test_newdata","","","","test_newdata",""
"broken","Tue Aug 17 19:38:53 GMT 2021","Tue Aug 17 19:39:01 GMT 2021","8489","test_phyton","test_inputdata","","","","test_inputdata",""
"passed","Tue Aug 17 19:40:12 GMT 2021","Tue Aug 17 19:40:50 GMT 2021","38505","test_phyton","test_registration","","","","test_registration",""
"passed","Tue Aug 17 19:37:24 GMT 2021","Tue Aug 17 19:37:57 GMT 2021","33159","test_phyton","test_cookies","","","","test_cookies",""
"failed","Tue Aug 17 19:39:17 GMT 2021","Tue Aug 17 19:39:51 GMT 2021","33858","test_phyton","test_new_tittle_only_once","","","","test_new_tittle_only_once",""
"passed","Tue Aug 17 19:37:57 GMT 2021","Tue Aug 17 19:38:23 GMT 2021","26515","test_phyton","test_deletedata","","","","test_deletedata",""
"passed","Tue Aug 17 19:38:23 GMT 2021","Tue Aug 17 19:38:53 GMT 2021","29669","test_phyton","test_editdata","","","","test_editdata",""
"passed","Tue Aug 17 19:39:01 GMT 2021","Tue Aug 17 19:39:17 GMT 2021","15979","test_phyton","test_moredata","","","","test_moredata",""
"passed","Tue Aug 17 19:41:05 GMT 2021","Tue Aug 17 19:41:20 GMT 2021","14615","test_phyton","test_writedatatofile","","","","test_datawritetofile",""
