"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 16 20:54:15 GMT 2021","Mon Aug 16 20:54:22 GMT 2021","6742","test_phyton","test_tittle_only_once","","","","test_tittle_only_once",""
"passed","Mon Aug 16 20:52:21 GMT 2021","Mon Aug 16 20:52:38 GMT 2021","16721","test_phyton","test_deletedata","","","","test_deletedata",""
"passed","Mon Aug 16 20:53:33 GMT 2021","Mon Aug 16 20:53:45 GMT 2021","12367","test_phyton","test_newdata","","","","test_newdata",""
"failed","Mon Aug 16 20:53:04 GMT 2021","Mon Aug 16 20:53:33 GMT 2021","28866","test_phyton","test_new_tittle_only_once","","","","test_new_tittle_only_once",""
"passed","Mon Aug 16 20:53:45 GMT 2021","Mon Aug 16 20:54:15 GMT 2021","29871","test_phyton","test_registration","","","","test_registration",""
"passed","Mon Aug 16 20:52:56 GMT 2021","Mon Aug 16 20:53:04 GMT 2021","8138","test_phyton","test_moredata","","","","test_moredata",""
"passed","Mon Aug 16 20:51:51 GMT 2021","Mon Aug 16 20:52:21 GMT 2021","30166","test_phyton","test_cookies","","","","test_cookies",""
"passed","Mon Aug 16 20:52:38 GMT 2021","Mon Aug 16 20:52:56 GMT 2021","17808","test_phyton","test_editdata","","","","test_editdata",""
