"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 23:34:41 GMT 2021","Mon Aug 16 23:34:58 GMT 2021","17847","test_phyton","test_deletedata","","","","test_deletedata",""
"broken","Mon Aug 16 23:35:18 GMT 2021","Mon Aug 16 23:35:26 GMT 2021","8291","test_phyton","test_inputdata","","","","test_inputdata",""
"passed","Mon Aug 16 23:37:03 GMT 2021","Mon Aug 16 23:37:14 GMT 2021","11529","test_phyton","test_writedatatofile","","","","test_datawritetofile",""
"passed","Mon Aug 16 23:35:36 GMT 2021","Mon Aug 16 23:36:18 GMT 2021","42424","test_phyton","test_new_tittle_only_once","","","","test_new_tittle_only_once",""
"passed","Mon Aug 16 23:34:58 GMT 2021","Mon Aug 16 23:35:18 GMT 2021","19095","test_phyton","test_editdata","","","","test_editdata",""
"passed","Mon Aug 16 23:34:12 GMT 2021","Mon Aug 16 23:34:41 GMT 2021","28926","test_phyton","test_cookies","","","","test_cookies",""
"passed","Mon Aug 16 23:36:28 GMT 2021","Mon Aug 16 23:36:58 GMT 2021","30565","test_phyton","test_registration","","","","test_registration",""
"passed","Mon Aug 16 23:35:26 GMT 2021","Mon Aug 16 23:35:36 GMT 2021","10105","test_phyton","test_moredata","","","","test_moredata",""
"passed","Mon Aug 16 23:36:18 GMT 2021","Mon Aug 16 23:36:28 GMT 2021","9184","test_phyton","test_newdata","","","","test_newdata",""
"passed","Mon Aug 16 23:36:58 GMT 2021","Mon Aug 16 23:37:03 GMT 2021","4349","test_phyton","test_tittle_only_once","","","","test_tittle_only_once",""
