"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 17 18:08:45 GMT 2021","Tue Aug 17 18:09:01 GMT 2021","16338","test_phyton","test_moredata","","","","test_moredata",""
"failed","Tue Aug 17 18:09:01 GMT 2021","Tue Aug 17 18:09:37 GMT 2021","35504","test_phyton","test_new_tittle_only_once","","","","test_new_tittle_only_once",""
"passed","Tue Aug 17 18:07:23 GMT 2021","Tue Aug 17 18:07:50 GMT 2021","27313","test_phyton","test_deletedata","","","","test_deletedata",""
"passed","Tue Aug 17 18:08:21 GMT 2021","Tue Aug 17 18:08:45 GMT 2021","24172","test_phyton","test_inputdata","","","","test_inputdata",""
"passed","Tue Aug 17 18:06:44 GMT 2021","Tue Aug 17 18:07:23 GMT 2021","38798","test_phyton","test_cookies","","","","test_cookies",""
"failed","Tue Aug 17 18:10:37 GMT 2021","Tue Aug 17 18:10:53 GMT 2021","16197","test_phyton","test_tittle_only_once","","","","test_tittle_only_once",""
"passed","Tue Aug 17 18:07:50 GMT 2021","Tue Aug 17 18:08:21 GMT 2021","30350","test_phyton","test_editdata","","","","test_editdata",""
"passed","Tue Aug 17 18:09:58 GMT 2021","Tue Aug 17 18:10:37 GMT 2021","39092","test_phyton","test_registration","","","","test_registration",""
"failed","Tue Aug 17 18:09:37 GMT 2021","Tue Aug 17 18:09:58 GMT 2021","21144","test_phyton","test_newdata","","","","test_newdata",""
"passed","Tue Aug 17 18:10:53 GMT 2021","Tue Aug 17 18:11:09 GMT 2021","16134","test_phyton","test_writedatatofile","","","","test_datawritetofile",""
