"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 11:58:12 GMT 2021","Wed Aug 18 11:58:26 GMT 2021","14721","test_phyton","test_writedatatofile","","","","test_datawritetofile",""
"passed","Wed Aug 18 11:54:27 GMT 2021","Wed Aug 18 11:54:55 GMT 2021","27152","test_phyton","test_deletedata","","","","test_deletedata",""
"passed","Wed Aug 18 11:57:18 GMT 2021","Wed Aug 18 11:57:57 GMT 2021","38436","test_phyton","test_registration","","","","test_registration",""
"passed","Wed Aug 18 11:55:25 GMT 2021","Wed Aug 18 11:56:08 GMT 2021","42852","test_phyton","test_inputdata","","","","test_inputdata",""
"passed","Wed Aug 18 11:56:08 GMT 2021","Wed Aug 18 11:56:24 GMT 2021","16174","test_phyton","test_moredata","","","","test_moredata",""
"passed","Wed Aug 18 11:54:55 GMT 2021","Wed Aug 18 11:55:25 GMT 2021","30321","test_phyton","test_editdata","","","","test_editdata",""
"passed","Wed Aug 18 11:53:54 GMT 2021","Wed Aug 18 11:54:27 GMT 2021","33150","test_phyton","test_cookies","","","","test_cookies",""
"failed","Wed Aug 18 11:57:57 GMT 2021","Wed Aug 18 11:58:12 GMT 2021","14780","test_phyton","test_tittle_only_once","","","","test_tittle_only_once",""
"failed","Wed Aug 18 11:56:24 GMT 2021","Wed Aug 18 11:56:58 GMT 2021","33860","test_phyton","test_new_tittle_only_once","","","","test_new_tittle_only_once",""
"failed","Wed Aug 18 11:56:58 GMT 2021","Wed Aug 18 11:57:18 GMT 2021","20447","test_phyton","test_newdata","","","","test_newdata",""
