"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 18 11:01:35 GMT 2021","Wed Aug 18 11:01:50 GMT 2021","14693","test_phyton","test_tittle_only_once","","","","test_tittle_only_once",""
"failed","Wed Aug 18 11:00:36 GMT 2021","Wed Aug 18 11:00:57 GMT 2021","20544","test_phyton","test_newdata","","","","test_newdata",""
"passed","Wed Aug 18 11:00:57 GMT 2021","Wed Aug 18 11:01:35 GMT 2021","38478","test_phyton","test_registration","","","","test_registration",""
"passed","Wed Aug 18 10:57:23 GMT 2021","Wed Aug 18 10:57:56 GMT 2021","32960","test_phyton","test_cookies","","","","test_cookies",""
"passed","Wed Aug 18 10:58:23 GMT 2021","Wed Aug 18 10:58:54 GMT 2021","30443","test_phyton","test_editdata","","","","test_editdata",""
"passed","Wed Aug 18 10:59:47 GMT 2021","Wed Aug 18 11:00:03 GMT 2021","16014","test_phyton","test_moredata","","","","test_moredata",""
"failed","Wed Aug 18 11:00:03 GMT 2021","Wed Aug 18 11:00:36 GMT 2021","33727","test_phyton","test_new_tittle_only_once","","","","test_new_tittle_only_once",""
"broken","Wed Aug 18 11:01:50 GMT 2021","Wed Aug 18 11:01:58 GMT 2021","8423","test_phyton","test_writedatatofile","","","","test_datawritetofile",""
"broken","Wed Aug 18 10:58:54 GMT 2021","Wed Aug 18 10:59:46 GMT 2021","52898","test_phyton","test_inputdata","","","","test_inputdata",""
"passed","Wed Aug 18 10:57:56 GMT 2021","Wed Aug 18 10:58:23 GMT 2021","27310","test_phyton","test_deletedata","","","","test_deletedata",""
