"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 17 00:03:43 GMT 2021","Tue Aug 17 00:04:01 GMT 2021","17142","test_phyton","test_deletedata","","","","test_deletedata",""
"passed","Tue Aug 17 00:04:19 GMT 2021","Tue Aug 17 00:04:51 GMT 2021","32152","test_phyton","test_inputdata","","","","test_inputdata",""
"passed","Tue Aug 17 00:05:41 GMT 2021","Tue Aug 17 00:05:50 GMT 2021","8532","test_phyton","test_newdata","","","","test_newdata",""
"passed","Tue Aug 17 00:06:24 GMT 2021","Tue Aug 17 00:06:35 GMT 2021","11053","test_phyton","test_writedatatofile","","","","test_datawritetofile",""
"passed","Tue Aug 17 00:04:51 GMT 2021","Tue Aug 17 00:05:00 GMT 2021","8928","test_phyton","test_moredata","","","","test_moredata",""
"passed","Tue Aug 17 00:05:50 GMT 2021","Tue Aug 17 00:06:20 GMT 2021","30032","test_phyton","test_registration","","","","test_registration",""
"passed","Tue Aug 17 00:05:00 GMT 2021","Tue Aug 17 00:05:41 GMT 2021","41566","test_phyton","test_new_tittle_only_once","","","","test_new_tittle_only_once",""
"passed","Tue Aug 17 00:04:01 GMT 2021","Tue Aug 17 00:04:19 GMT 2021","18072","test_phyton","test_editdata","","","","test_editdata",""
"passed","Tue Aug 17 00:06:20 GMT 2021","Tue Aug 17 00:06:24 GMT 2021","4008","test_phyton","test_tittle_only_once","","","","test_tittle_only_once",""
"passed","Tue Aug 17 00:03:14 GMT 2021","Tue Aug 17 00:03:43 GMT 2021","29261","test_phyton","test_cookies","","","","test_cookies",""
